id,Ãû×Ö,Ä£ÐÍid,Í·ÏñID,¹¥»÷ÀàÐÍ,µÈ¼¶,ÉúÃüÖµ,ÒÆ¶¯ËÙ¶È,¹¥»÷·¶Î§,Îï¹¥,·¨¹¥,ÎïÀí·ÀÓù,·¨Êõ·ÀÓù,ÃüÖÐ,¶ãÉÁ,±©»÷,¿¹±©,¼¼ÄÜ1,¼¼ÄÜ1µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ1µÄÊ©·¨Ê±¼ä,¼¼ÄÜ2,¼¼ÄÜ2µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ2µÄÊ©·¨Ê±¼ä,¼¼ÄÜ3,¼¼ÄÜ3µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ3µÄÊ©·¨Ê±¼ä,¼¼ÄÜ4,¼¼ÄÜ4µÄÊ¹ÓÃ¸ÅÂÊ,¼¼ÄÜ4µÄÊ©·¨Ê±¼ä,É¾³ý
5670,Ê³ÈËÄ§,117,59,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5671,×ÏÆ¤ó¸òÜ,537,377,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5672,»±Ê÷ÈË,573,401,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5673,ÀµÆ¤ºï,2085,19,0,40,1571,21500,,602,602,394,374,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5674,½ð¸Õ»¢Íõ,2086,637,0,40,27489,11875,,786,786,451,428,557,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5675,ÏÉ½çÒø¿ø,2066,637,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5676,ÏÉ½ç½ð¼×,2065,476,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5677,ÏÉ½çÁ¶µ¤Õß,2087,495,0,40,510,21500,,524,524,376,357,371,226,,,702005,10000,1500,,,,,,,,,,É¾³ý
5678,ÏÉ½ç¿´ÊØÕß,1438,319,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5679,ÏÉ½ç³ýÄ§Õß,2088,637,0,40,1571,21500,,602,602,394,374,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5680,ÏÉ½çµÛÍõ,2089,343,0,40,27489,21500,,786,786,451,428,557,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5681,ÊÔÁ¶Èë¿Ú,1939,148,1,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5682,ÁéÐÄÖ®»ê,2099,148,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5683,ÕæÎäÖ®»ê,2100,148,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5684,Ðþ×ÚÖ®»ê,2101,148,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5685,Ë®ÅÝÅÝ,1810,148,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5686,Áé»ê»ðÇò,2161,148,0,100,11624,21000,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5687,»êµÆ,2162,148,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5688,¼ÓÑª,1552,276,2,100,11624,40000,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5689,¼Ó¹¥,1797,606,2,100,11624,40000,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5690,¼Ó·À,1798,607,2,100,11624,40000,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5691,ÎÞµÐË®¾§,1896,649,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5692,·ÀÓùË®¾§,2061,318,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5693,·´µ¯Ë®¾§,2064,652,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5694,ÉËº¦Ë®¾§,1897,650,0,100,11624,11875,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5701,Ò×ÈÝ´óÊ¦,2039,630,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5801,ÄàÊ¯¹Ö,1378,46,0,31,296,21500,,379,379,262,248,277,172,,,701002,10000,1500,,,,,,,,,,É¾³ý
5802,Ë®Ñý,216,61,0,32,859,18888,,451,496,255,312,288,178,,,707003,10000,1500,,,,,,,,,,É¾³ý
5803,Ñ©É½½£Áé,1391,380,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5804,Ñ©Ñý,467,68,0,40,1413,18888,,602,662,354,433,371,226,,,710002,10000,1500,,,,,,,,,,É¾³ý
5805,ÊÉ»êÉß,1379,38,0,34,348,21500,,423,423,292,277,307,190,,,701002,10000,1500,,,,,,,,,,É¾³ý
5806,¹íÎ×,469,58,0,41,1499,18888,,623,685,369,451,383,233,,,710002,10000,1500,,,,,,,,,,É¾³ý
5807,µûÈË,1383,12,0,37,422,21500,,471,471,331,314,340,208,,,701002,10000,1500,,,,,,,,,,É¾³ý
5808,µûÈË³¤ÀÏ,465,14,0,39,1315,18888,,581,639,341,416,360,220,,,710002,10000,1500,,,,,,,,,,É¾³ý
5809,öÞÈËÊ¿±ø,1382,57,0,40,510,21500,,524,524,376,357,371,226,,,701002,10000,1500,,,,,,,,,,É¾³ý
5810,öÞÈË¶ñÎ×,468,54,0,41,1499,18888,,623,685,369,451,383,233,,,710002,10000,1500,,,,,,,,,,É¾³ý
5811,±¬ÁÑÇò,882,429,0,1,18,21500,,25,25,22,20,62,40,,,701002,10000,1500,,,,,,,,,,É¾³ý
5812,ÓÄÁé÷¼÷Ã,459,26,0,38,451,11000,,489,489,346,328,349,214,,,701002,10000,1500,,,,,,,,,,É¾³ý
5813,¾ÛÁéÊÞ,851,17,0,38,451,11000,,489,489,346,328,349,214,,,0,10000,1500,,,,,,,,,,É¾³ý
5814,Ñ©ÀÇÈË,532,47,0,32,955,18888,,451,451,284,269,288,178,,,701002,10000,1500,,,,,,,,,,É¾³ý
5815,µûÈË¼ÀÊ¦,1069,13,0,38,1247,25000,,562,618,326,399,349,214,,,708003,10000,1500,,,,,,,,,,É¾³ý
5816,ÃÔÊ§ÎäÊ¿,1353,486,0,38,1386,25000,,562,562,363,344,349,214,,,701040,10000,1000,,,,,,,,,,É¾³ý
5817,ß±Éñ·ä,629,43,0,35,1121,18888,,503,503,318,302,318,196,,,701003,10000,1500,,,,,,,,,,É¾³ý
5818,ÃÔÊ§ÎäÊ¿,1353,486,0,36,1208,18888,,523,523,332,315,328,201,,,701003,10000,1500,,,,,,,,,,É¾³ý
5819,ÎèÊÌÎÀ,161,162,0,46,1971,18888,,730,803,445,544,450,272,,,701040,10000,1500,,,,,,,,,,É¾³ý
5820,ÒþÉí¹Ö,161,162,1,46,705,21500,,635,635,472,448,450,272,,,0,10000,1500,,,,,,,,,,É¾³ý
5821,ÁúÊ¯,417,251,2,50,853,21500,,715,715,541,513,508,303,,,0,10000,1500,,,,,,,,,,É¾³ý
5822,ÊØ»¤Ëþ,168,281,2,50,853,21500,,715,715,541,513,508,303,,,706010,10000,1500,,,,,,,,,,É¾³ý
5823,Áé¶¯»ú¹ØÈË,461,32,0,38,451,21500,,489,489,346,328,349,214,,,701002,10000,1500,,,,,,,,,,É¾³ý
5824,ÑÒÄ§,460,69,0,33,2032,18888,,489,489,337,320,298,183,,,701006,10000,1500,,,,,,,,,,É¾³ý
5825,Ä§ÊÌÎÀ,155,148,0,47,2297,18888,,753,753,512,486,462,279,,,701040,10000,1500,,,,,,,,,,É¾³ý
5826,ÑýÊÌÎÀ,156,160,0,47,2297,18888,,753,753,512,486,462,279,,,701039,10000,1500,,,,,,,,,,É¾³ý
5827,ß±Éñ·ä,629,43,0,35,366,21500,,438,438,303,287,318,196,,,701002,10000,1500,,,,,,,,,,É¾³ý
5828,Ä¾¾«Áé,191,94,0,35,1008,18888,,503,553,286,349,318,196,,,710002,10000,1500,,,,,,,,,,É¾³ý
5829,²Ô×ÏÒÂ,2516,749,0,50,46829,10875,,1072,1072,649,616,762,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5830,Ñý×å´ó¼ÀÊ¦,1184,162,0,50,46829,10875,,1072,1072,649,616,762,303,,,875033,10000,1500,,,,,,,,,,É¾³ý
5831,Ñý×å´ó·¨Ê¦,1166,166,0,50,46829,10875,,1072,1072,649,616,762,303,,,875019,10000,1500,,,,,,,,,,É¾³ý
5832,Ñý×å´óÕ½Ê¿,1190,162,0,50,46829,10875,,1072,1072,649,616,762,303,,,875013,10000,1500,,,,,,,,,,É¾³ý
5833,ÆÕÍ¨¼×Ê¿,448,148,2,32,313,10875,,393,393,271,257,288,178,,,701040,10000,1500,,,,,,,,,,É¾³ý
5834,¾«Èñ¼×Ê¿,449,148,2,36,394,10875,,455,455,317,301,328,201,,,701040,10000,1500,,,,,,,,,,É¾³ý
5835,æçÓÂ¼×Ê¿,450,148,2,40,510,10875,,524,524,376,357,371,226,,,701040,10000,1500,,,,,,,,,,É¾³ý
5836,½ûÎÀ¼×Ê¿,451,148,2,44,634,10875,,597,597,439,417,422,256,,,701040,10000,1500,,,,,,,,,,É¾³ý
5837,ÎäÍþ¼×Ê¿,452,148,2,48,778,10875,,674,674,505,479,476,287,,,701040,10000,1500,,,,,,,,,,É¾³ý
5838,ÆÕÍ¨·¨Ê¦,443,155,2,32,281,10875,,393,432,243,298,288,178,,,707026,10000,1500,,,,,,,,,,É¾³ý
5839,¾«Èñ·¨Ê¦,444,155,2,36,354,10875,,455,500,285,348,328,201,,,707026,10000,1500,,,,,,,,,,É¾³ý
5840,æçÓÂ·¨Ê¦,445,155,2,40,459,10875,,524,576,338,413,371,226,,,707026,10000,1500,,,,,,,,,,É¾³ý
5841,½ûÎÀ·¨Ê¦,446,155,2,44,570,10875,,597,656,395,482,422,256,,,707026,10000,1500,,,,,,,,,,É¾³ý
5842,ÎäÍþ·¨Ê¦,447,155,2,48,700,10875,,674,741,454,555,476,287,,,707026,10000,1500,,,,,,,,,,É¾³ý
5843,ÆÕÍ¨¼ÀÊ¦,453,162,2,32,281,10875,,393,432,243,298,288,178,,,709021,10000,1500,,,,,,,,,,É¾³ý
5844,¾«Èñ¼ÀÊ¦,454,162,2,36,354,10875,,455,500,285,348,328,201,,,709021,10000,1500,,,,,,,,,,É¾³ý
5845,æçÓÂ¼ÀÊ¦,455,162,2,40,459,10875,,524,576,338,413,371,226,,,709021,10000,1500,,,,,,,,,,É¾³ý
5846,½ûÎÀ¼ÀÊ¦,456,162,2,44,570,10875,,597,656,395,482,422,256,,,709021,10000,1500,,,,,,,,,,É¾³ý
5847,ÎäÍþ¼ÀÊ¦,457,162,2,48,700,10875,,674,741,454,555,476,287,,,709021,10000,1500,,,,,,,,,,É¾³ý
5848,æçÓÂ¼×Ê¿,450,148,2,40,510,10875,,524,524,376,357,371,226,,,701040,10000,1500,,,,,,,,,,É¾³ý
5849,½ûÎÀ¼×Ê¿,451,148,2,44,634,10875,,597,597,439,417,422,256,,,701040,10000,1500,,,,,,,,,,É¾³ý
5850,ÎäÍþ¼×Ê¿,452,148,2,48,778,10875,,674,674,505,479,476,287,,,701040,10000,1500,,,,,,,,,,É¾³ý
5851,æçÓÂ·¨Ê¦,445,155,2,40,459,10875,,524,576,338,413,371,226,,,707026,10000,1500,,,,,,,,,,É¾³ý
5852,½ûÎÀ·¨Ê¦,446,155,2,44,570,10875,,597,656,395,482,422,256,,,707026,10000,1500,,,,,,,,,,É¾³ý
5853,ÎäÍþ·¨Ê¦,447,155,2,48,700,10875,,674,741,454,555,476,287,,,707026,10000,1500,,,,,,,,,,É¾³ý
5854,æçÓÂ¼ÀÊ¦,455,162,2,40,459,10875,,524,576,338,413,371,226,,,709021,10000,1500,,,,,,,,,,É¾³ý
5855,½ûÎÀ¼ÀÊ¦,456,162,2,44,570,10875,,597,656,395,482,422,256,,,709021,10000,1500,,,,,,,,,,É¾³ý
5856,ÎäÍþ¼ÀÊ¦,457,162,2,48,700,10875,,674,741,454,555,476,287,,,709021,10000,1500,,,,,,,,,,É¾³ý
5857,Ò»¼¶±ùËþ,1427,253,1,33,330,10875,,408,408,281,266,298,183,,,875003,10000,1500,,,,,,,,,,É¾³ý
5858,¶þ¼¶±ùËþ,1427,253,1,37,422,10875,,471,471,331,314,340,208,,,875003,10000,1500,,,,,,,,,,É¾³ý
5859,Èý¼¶±ùËþ,1427,253,1,41,540,10875,,542,542,391,371,383,233,,,875003,10000,1500,,,,,,,,,,É¾³ý
5860,ËÄ¼¶±ùËþ,1427,253,1,45,667,10875,,616,616,455,432,436,264,,,875003,10000,1500,,,,,,,,,,É¾³ý
5861,ÖúÕóµÄæçÓÂ¼×Ê¿,450,148,2,40,510,10875,,524,524,376,357,371,226,,,701040,10000,1500,,,,,,,,,,É¾³ý
5862,ÖúÕóµÄ½ûÎÀ¼×Ê¿,451,148,2,44,634,10875,,597,597,439,417,422,256,,,701040,10000,1500,,,,,,,,,,É¾³ý
5863,ÖúÕóµÄÎäÍþ¼×Ê¿,452,148,2,48,778,10875,,674,674,505,479,476,287,,,701040,10000,1500,,,,,,,,,,É¾³ý
5864,ÖúÕóµÄæçÓÂ·¨Ê¦,445,155,2,40,459,10875,,524,576,338,413,371,226,,,707026,10000,1500,,,,,,,,,,É¾³ý
5865,ÖúÕóµÄ½ûÎÀ·¨Ê¦,446,155,2,44,570,10875,,597,656,395,482,422,256,,,707026,10000,1500,,,,,,,,,,É¾³ý
5866,ÖúÕóµÄÎäÍþ·¨Ê¦,447,155,2,48,700,10875,,674,741,454,555,476,287,,,707026,10000,1500,,,,,,,,,,É¾³ý
5867,Ò»¼¶»ðËþ,1428,252,1,33,330,10875,,408,408,281,266,298,183,,,875002,10000,1500,,,,,,,,,,É¾³ý
5868,¶þ¼¶»ðËþ,1428,252,1,37,422,10875,,471,471,331,314,340,208,,,875002,10000,1500,,,,,,,,,,É¾³ý
5869,Èý¼¶»ðËþ,1428,252,1,41,540,10875,,542,542,391,371,383,233,,,875002,10000,1500,,,,,,,,,,É¾³ý
5870,ËÄ¼¶»ðËþ,1428,252,1,45,667,10875,,616,616,455,432,436,264,,,875002,10000,1500,,,,,,,,,,É¾³ý
5871,Ò»¼¶À×Ëþ,1429,254,1,33,330,10875,,408,408,281,266,298,183,,,875005,10000,1500,,,,,,,,,,É¾³ý
5872,¶þ¼¶À×Ëþ,1429,254,1,37,422,10875,,471,471,331,314,340,208,,,875005,10000,1500,,,,,,,,,,É¾³ý
5873,Èý¼¶À×Ëþ,1429,254,1,41,540,10875,,542,542,391,371,383,233,,,875005,10000,1500,,,,,,,,,,É¾³ý
5874,ËÄ¼¶À×Ëþ,1429,254,1,45,667,10875,,616,616,455,432,436,264,,,875005,10000,1500,,,,,,,,,,É¾³ý
5875,Í»Ï®Õß,593,406,0,45,667,10875,,616,616,455,432,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
5876,¹ÖÎï´«ËÍÃÅ,348,143,0,35,366,21500,,438,438,303,287,318,196,,,0,10000,1500,,,,,,,,,,É¾³ý
5877,´«ËÍÍµÏ®Õß,599,387,0,45,667,10875,,616,616,455,432,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
5878,»¤ÎÀ¼ÀÊ¦,1069,13,0,45,2069,10875,,708,708,477,453,436,264,,,701002,10000,1500,,,,,,,,,,É¾³ý
5879,ÁúÊ¯ÊØÎÀÕß,2044,626,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5880,ÁúÊ¯ÊØÎÀÕß,2044,626,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5881,ÎÄ»¯×Ü¹Ü,2517,334,0,50,46829,10875,,1072,1072,649,616,762,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5882,¿óÊ¯×Ü¹Ü,1750,469,0,50,46829,10875,,1072,1072,649,616,762,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5883,·ûÖä×Ü¹Ü,2515,96,0,50,46829,10875,,1072,1072,649,616,762,303,,,710002,10000,1500,,,,,,,,,,É¾³ý
5901,Ô¬Ììî¸,2037,619,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5902,ÆßÐÇÄ§,2229,641,0,100,696277,21500,,8098,8098,5715,5429,5790,2375,,,873167,10000,1500,,,,,,,,,,É¾³ý
5903,±¦Ïä,1916,339,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
5904,½µÑýÏÉÍ¯,1356,437,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5905,ÕÂÓãÍõ,2062,512,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,873167,10000,1500,,,,,,,,,,É¾³ý
5906,Áúòá¾«,1826,538,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5907,ÎÚÔô¾«,1779,589,0,100,10461,21500,,5399,5938,4286,5239,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5908,Õ½Ä§,2076,437,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5909,Õ½Ä§,2076,538,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5910,ÁúÌ«×Ó,1764,529,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5911,ÁúÌ«×Ó,1764,529,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,873167,8000,1500,873168,2000,1500,,,,,,,É¾³ý
5912,Ìì±ø,1826,482,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5913,Òø¼×Ìì±ø,2066,482,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5914,ºÚÓðÉñ±ø,1965,482,0,100,40740,21500,,6208,6208,5001,4750,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5915,Ìì½«,2065,482,0,100,40740,21500,,6208,6208,5001,4750,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5916,½ð¼×Éñ½«,1668,483,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
5917,ÌìÐÇ±¦Ïä,1917,341,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
5931,´«ËÍÊ¹¶«,2066,639,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5932,´«ËÍÊ¹Î÷,2066,639,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5933,´«ËÍÊ¹ÄÏ,2066,639,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5934,´«ËÍÊ¹±±,2066,639,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5935,´«ËÍÊ¹Àë,2066,639,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5936,ÐìÃ¯¹«,1557,334,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5937,»î¶¯´«ËÍ,2298,686,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5938,ÐìÃ¯¹«,1538,334,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5939,Ô¿³×Ð¡Ôô,1069,13,0,50,400000,11875,,82,82,568,539,508,303,,,710002,10000,1500,,,,,,,,,,É¾³ý
5940,Ô¿³×´óÔô,590,16,0,50,400000,11875,,82,82,568,539,508,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5941,Ö¸ÒýÊ¹,492,348,0,50,250000,11875,,715,715,541,513,508,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5942,ËÙ,494,346,0,50,853,11875,,715,715,541,513,508,303,,,701002,10000,1500,,,,,,,,,,É¾³ý
5961,Õ½Æì,2253,678,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5962,¾ÝµãÆìºì,2257,680,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5963,¾ÝµãÆìÀ¶,2256,679,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5964,¾ÝµãÆì°×,2258,681,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5965,ÊØ»¤Éñ½£,2254,398,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5966,ÊØ»¤Éñ½£,2255,400,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5967,Àî¾¸,2299,620,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
5968,¾ÝµãÆìÖÄ,2277,681,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
5969,Õ½³¡Ò©Æ·ÉÌ,71,134,1,100,75497,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6001,ÍõÕò¶ñ,2497,513,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6002,ÁÒÑæÕ½ÐÜ,2416,713,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6003,µÆ,2204,661,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6004,»ú¹ØÓ¥Íõ,1794,34,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6005,¶¾Æø,2439,34,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6006,»Ø¸´¹âÈ¦,2440,271,1,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6007,°×¹â£¨²»¿É´©£©,2396,70,1,1,108,11875,,30,30,26,24,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
6008,ÍõÕò¶ñ,2497,513,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6009,ÍõÕò¶ñ,2497,513,2,100,75497,11000,,6478,6478,5715,5429,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
6010,ÌÚÔ¾»ú¹Ø,1615,143,1,1,18,21500,,25,25,22,20,62,40,,,0,10000,1500,,,,,,,,,,É¾³ý
6011,¶ÉÖÚÉú,2035,624,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6012,¶ÉÖÚÈË,2035,624,1,100,90596,21500,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6013,¿¾Öí,2455,240,1,100,90596,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6014,Ð¡ºÍÉÐ,1238,433,0,100,11624,25000,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
6015,°²ÄÝ¿ËÐÇ,590,16,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6016,Ã»ÊìµÄ¿¾Öí,2454,241,1,100,90596,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6017,ÊìÍ¸µÄ¿¾Öí,2456,242,1,100,90596,11875,,6478,6478,5715,5429,3860,2375,,,0,10000,1500,,,,,,,,,,É¾³ý
6021,¶ñÈË¡¤½ð,1564,325,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,873277,10000,1500,,,,,,,,,,É¾³ý
6022,¶ñÈË¡¤»ð,1351,31,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,873278,10000,1500,,,,,,,,,,É¾³ý
6023,¶ñÈË¡¤Ë®,216,61,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,873280,10000,1500,,,,,,,,,,É¾³ý
6024,¶ñÈË¡¤Ä¾,1380,94,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,873281,10000,1500,,,,,,,,,,É¾³ý
6025,¶ñÈË¡¤ÍÁ,1396,465,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,873279,10000,1500,,,,,,,,,,É¾³ý
6026,½ð¡¤Í·Ä¿,1558,325,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,873277,10000,1500,,,,,,,,,,É¾³ý
6027,»ð¡¤Í·Ä¿,1413,31,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,873278,10000,1500,,,,,,,,,,É¾³ý
6028,Ë®¡¤Í·Ä¿,1300,61,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,873280,10000,1500,,,,,,,,,,É¾³ý
6029,Ä¾¡¤Í·Ä¿,191,94,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,873281,10000,1500,,,,,,,,,,É¾³ý
6030,ÍÁ¡¤Í·Ä¿,2311,465,0,100,75497,21500,,6478,6478,5715,5429,3860,2375,,,873279,10000,1500,,,,,,,,,,É¾³ý
6031,ÃÔÊ§ÎäÊ¿,2001,486,0,100,11624,40000,,5399,5399,4763,4524,3860,2375,,,873283,10000,1500,,,,,,,,,,É¾³ý
6032,±¬ÁÑÇò,882,429,0,100,11624,21500,,5399,5399,4763,4524,3860,2375,,,701002,10000,1500,,,,,,,,,,É¾³ý
6033,ÐùÔ¯ËÄ¹â,2413,724,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,873265,9000,3000,873266,1000,3000,,,,,,,É¾³ý
6034,°²ÄÝ,2410,717,0,100,696277,8000,,8098,8098,5715,5429,5790,2375,,,873276,10000,1500,,,,,,,,,,É¾³ý
6035,ÁÒÑæÕ½ÐÜ,2416,713,0,100,696277,9000,,8098,8098,5715,5429,5790,2375,,,873267,9000,2000,873268,1000,2000,,,,,,,É¾³ý
